Counts,GestreIdentifier,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
51393,0,764.0,676.0,0.0,3640.0,3244.0,13528.0,13524.0,2276.0
51394,0,760.0,656.0,0.0,3620.0,3268.0,13560.0,13516.0,2288.0
51395,0,752.0,656.0,0.0,3612.0,3244.0,13516.0,13500.0,2288.0
51396,0,760.0,648.0,0.0,3632.0,3248.0,13516.0,13552.0,2304.0
51397,0,772.0,648.0,0.0,3636.0,3248.0,13536.0,13568.0,2272.0
51398,0,764.0,648.0,0.0,3632.0,3280.0,13516.0,13552.0,2300.0
51399,0,756.0,648.0,0.0,3612.0,3248.0,13536.0,13552.0,2276.0
51400,0,748.0,672.0,0.0,3632.0,3252.0,13524.0,13508.0,2288.0
51401,0,752.0,656.0,0.0,3628.0,3236.0,13516.0,13528.0,2276.0
51402,0,784.0,672.0,0.0,3648.0,3244.0,13524.0,13532.0,2288.0
51403,0,764.0,672.0,0.0,3620.0,3248.0,13524.0,13508.0,2300.0
51404,0,752.0,672.0,0.0,3640.0,3264.0,13516.0,13524.0,2268.0
51405,0,776.0,652.0,0.0,3628.0,3248.0,13520.0,13532.0,2276.0
51406,0,780.0,636.0,0.0,3648.0,3256.0,13516.0,13508.0,2268.0
51407,0,784.0,644.0,0.0,3648.0,3228.0,13516.0,13520.0,2288.0
51408,0,776.0,656.0,0.0,3612.0,3252.0,13536.0,13532.0,2268.0
51409,0,760.0,660.0,0.0,3620.0,3272.0,13536.0,13536.0,2296.0
51410,0,776.0,656.0,0.0,3632.0,3264.0,13532.0,13516.0,2276.0
51411,0,772.0,644.0,0.0,3632.0,3264.0,13532.0,13536.0,2252.0
51412,0,792.0,656.0,0.0,3632.0,3260.0,13512.0,13516.0,2268.0
51413,0,756.0,648.0,0.0,3632.0,3248.0,13536.0,13500.0,2264.0
51414,0,768.0,652.0,0.0,3612.0,3212.0,13520.0,13516.0,2288.0
51415,0,768.0,688.0,0.0,3644.0,3244.0,13516.0,13532.0,2276.0
51416,0,744.0,652.0,0.0,3612.0,3248.0,13500.0,13532.0,2300.0
51417,0,748.0,652.0,0.0,3632.0,3248.0,13500.0,13516.0,2284.0
51418,0,772.0,652.0,0.0,3628.0,3256.0,13528.0,13544.0,2276.0
51419,0,760.0,664.0,0.0,3620.0,3268.0,13528.0,13520.0,2264.0
51420,0,780.0,656.0,0.0,3616.0,3260.0,13544.0,13552.0,2300.0
51421,0,756.0,664.0,0.0,3612.0,3264.0,13540.0,13500.0,2292.0
51422,0,772.0,648.0,0.0,3612.0,3264.0,13516.0,13536.0,2256.0
51423,0,768.0,672.0,0.0,3628.0,3244.0,13520.0,13520.0,2284.0
51424,0,780.0,652.0,0.0,3632.0,3240.0,13536.0,13556.0,2268.0
51425,0,756.0,648.0,0.0,3620.0,3248.0,13544.0,13516.0,2292.0
51426,0,760.0,680.0,0.0,3636.0,3248.0,13500.0,13536.0,2304.0
51427,0,764.0,664.0,0.0,3624.0,3248.0,13520.0,13500.0,2268.0
51428,0,760.0,636.0,0.0,3612.0,3248.0,13528.0,13508.0,2292.0
51429,0,760.0,636.0,0.0,3616.0,3256.0,13524.0,13516.0,2268.0
51430,0,780.0,664.0,0.0,3608.0,3228.0,13520.0,13516.0,2288.0
51431,0,776.0,672.0,0.0,3644.0,3236.0,13508.0,13540.0,2260.0
51432,0,772.0,644.0,0.0,3640.0,3248.0,13532.0,13528.0,2288.0
51433,0,752.0,656.0,0.0,3632.0,3264.0,13516.0,13528.0,2312.0
51434,0,768.0,648.0,0.0,3616.0,3228.0,13528.0,13528.0,2268.0
51435,0,764.0,652.0,0.0,3628.0,3252.0,13516.0,13544.0,2296.0
51436,0,780.0,664.0,0.0,3628.0,3248.0,13536.0,13532.0,2292.0
51437,0,784.0,656.0,0.0,3612.0,3228.0,13552.0,13520.0,2288.0
51438,0,764.0,648.0,0.0,3620.0,3232.0,13536.0,13524.0,2268.0
51439,0,724.0,660.0,0.0,3624.0,3248.0,13516.0,13524.0,2312.0
51440,0,748.0,656.0,0.0,3628.0,3232.0,13508.0,13488.0,2292.0
51441,0,752.0,652.0,0.0,3612.0,3228.0,13504.0,13516.0,2296.0
51442,0,764.0,668.0,0.0,3612.0,3228.0,13512.0,13512.0,2272.0
51443,0,768.0,656.0,0.0,3640.0,3212.0,13544.0,13528.0,2304.0
51444,0,768.0,672.0,0.0,3632.0,3224.0,13536.0,13504.0,2296.0
51445,0,764.0,672.0,0.0,3632.0,3228.0,13528.0,13536.0,2272.0
51446,0,784.0,660.0,0.0,3604.0,3204.0,13540.0,13500.0,2268.0
51447,0,784.0,636.0,0.0,3624.0,3200.0,13504.0,13520.0,2268.0
51448,0,776.0,652.0,0.0,3632.0,3236.0,13516.0,13504.0,2280.0
51449,0,784.0,656.0,0.0,3600.0,3216.0,13500.0,13516.0,2296.0
51450,0,776.0,656.0,0.0,3616.0,3228.0,13524.0,13540.0,2276.0
51451,0,776.0,652.0,0.0,3604.0,3208.0,13512.0,13508.0,2288.0
51452,0,800.0,672.0,0.0,3628.0,3232.0,13520.0,13528.0,2268.0
51453,0,776.0,656.0,0.0,3612.0,3220.0,13532.0,13500.0,2280.0
51454,0,748.0,660.0,0.0,3620.0,3216.0,13516.0,13500.0,2296.0
51455,0,768.0,652.0,0.0,3628.0,3236.0,13512.0,13536.0,2268.0
51456,0,768.0,656.0,0.0,3644.0,3220.0,13516.0,13516.0,2272.0
51457,0,800.0,636.0,0.0,3612.0,3188.0,13524.0,13508.0,2296.0
51458,0,776.0,664.0,0.0,3612.0,3204.0,13536.0,13500.0,2268.0
51459,0,756.0,656.0,0.0,3632.0,3220.0,13508.0,13536.0,2280.0
51460,0,760.0,652.0,0.0,3608.0,3216.0,13516.0,13536.0,2304.0
51461,0,764.0,640.0,0.0,3616.0,3204.0,13536.0,13524.0,2284.0
51462,0,772.0,632.0,0.0,3620.0,3216.0,13532.0,13552.0,2300.0
51463,0,724.0,668.0,0.0,3628.0,3200.0,13524.0,13552.0,2264.0
51464,0,764.0,648.0,0.0,3612.0,3204.0,13532.0,13508.0,2268.0
51465,0,748.0,668.0,0.0,3608.0,3200.0,13508.0,13524.0,2288.0
51466,0,744.0,676.0,0.0,3632.0,3196.0,13528.0,13520.0,2280.0
51467,0,772.0,672.0,0.0,3620.0,3220.0,13508.0,13532.0,2276.0
