Counts,GestreIdentifier,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
69640,0,852.0,548.0,0.0,3608.0,2456.0,13532.0,13484.0,2272.0
69641,0,828.0,544.0,0.0,3604.0,2412.0,13524.0,13524.0,2308.0
69642,0,852.0,556.0,0.0,3596.0,2428.0,13540.0,13536.0,2304.0
69643,0,864.0,560.0,0.0,3596.0,2432.0,13496.0,13512.0,2316.0
69644,0,856.0,560.0,0.0,3600.0,2440.0,13536.0,13500.0,2280.0
69645,0,844.0,552.0,0.0,3584.0,2448.0,13504.0,13500.0,2268.0
69646,0,820.0,552.0,0.0,3588.0,2424.0,13496.0,13504.0,2272.0
69647,0,840.0,552.0,0.0,3572.0,2436.0,13528.0,13500.0,2292.0
69648,0,848.0,576.0,0.0,3588.0,2428.0,13492.0,13512.0,2284.0
69649,0,844.0,568.0,0.0,3616.0,2428.0,13496.0,13492.0,2284.0
69650,0,864.0,584.0,0.0,3588.0,2424.0,13508.0,13540.0,2288.0
69651,0,844.0,564.0,0.0,3596.0,2440.0,13524.0,13468.0,2284.0
69652,0,852.0,536.0,0.0,3600.0,2440.0,13532.0,13516.0,2284.0
69653,0,872.0,568.0,0.0,3580.0,2448.0,13544.0,13548.0,2308.0
69654,0,836.0,544.0,0.0,3596.0,2440.0,13504.0,13500.0,2308.0
69655,0,828.0,544.0,0.0,3588.0,2456.0,13480.0,13552.0,2304.0
69656,0,832.0,544.0,0.0,3572.0,2432.0,13524.0,13520.0,2288.0
69657,0,836.0,560.0,0.0,3588.0,2424.0,13528.0,13520.0,2292.0
69658,0,856.0,536.0,0.0,3616.0,2424.0,13508.0,13500.0,2280.0
69659,0,860.0,552.0,0.0,3608.0,2428.0,13496.0,13500.0,2308.0
69660,0,844.0,540.0,0.0,3624.0,2416.0,13492.0,13504.0,2288.0
69661,0,844.0,552.0,0.0,3600.0,2428.0,13508.0,13468.0,2288.0
69662,0,864.0,552.0,0.0,3608.0,2460.0,13504.0,13516.0,2264.0
69663,0,864.0,536.0,0.0,3600.0,2400.0,13500.0,13528.0,2284.0
69664,0,856.0,556.0,0.0,3580.0,2448.0,13524.0,13528.0,2300.0
69665,0,832.0,540.0,0.0,3620.0,2420.0,13524.0,13508.0,2288.0
69666,0,860.0,564.0,0.0,3608.0,2424.0,13508.0,13492.0,2304.0
69667,0,828.0,568.0,0.0,3580.0,2428.0,13520.0,13536.0,2264.0
69668,0,836.0,560.0,0.0,3592.0,2412.0,13480.0,13520.0,2288.0
69669,0,860.0,568.0,0.0,3588.0,2464.0,13500.0,13512.0,2276.0
69670,0,844.0,548.0,0.0,3616.0,2452.0,13516.0,13500.0,2280.0
69671,0,860.0,548.0,0.0,3592.0,2428.0,13504.0,13520.0,2292.0
69672,0,848.0,548.0,0.0,3580.0,2420.0,13540.0,13528.0,2288.0
69673,0,864.0,544.0,0.0,3604.0,2448.0,13544.0,13544.0,2304.0
69674,0,864.0,576.0,0.0,3572.0,2412.0,13536.0,13540.0,2284.0
69675,0,836.0,544.0,0.0,3604.0,2452.0,13536.0,13500.0,2320.0
69676,0,848.0,560.0,0.0,3584.0,2428.0,13508.0,13536.0,2268.0
69677,0,848.0,548.0,0.0,3608.0,2456.0,13516.0,13524.0,2292.0
69678,0,848.0,544.0,0.0,3596.0,2440.0,13500.0,13568.0,2284.0
69679,0,848.0,584.0,0.0,3616.0,2412.0,13512.0,13500.0,2284.0
